PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,avPercentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over those of negative controls at a concentration of 10 uM.
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
47,26658477,2790056,CC1=CC=C(C=C1)NC2=C3CCCC3=NC4=CC=CC=C42.Cl,Active,88,,,16
48,24811518,16193349,C1=CC=C(C=C1)C2=C(C3=CC=CC=C3N2C4=CC=CC=C4)CCN.Cl,Active,88,,,15
49,14731752,2182487,CN(CCOCCOC1=CC2=CC=CC=C2C=C1)CC3=CC=CC=C3,Active,88,,,17
50,24807085,2169083,COC1=C(C=C(C=C1)CNCCC2=CC=C(C=C2)Cl)OCC3=CC=CC=C3,Active,88,,,13.5
51,47202044,2923793,CC1=CC(=C(C=C1)C(C)C)OCCNCC2=CC=CC=C2.C(=O)(C(=O)O)O,Active,88,,,16.5
52,17416160,9568230,C1=CC=C(C=C1)COC2=CC=C(C=C2)/C=N/N=C(N)N,Active,88,,,16.5
53,47198853,4594134,CC(CCC1=CC=C(C=C1)OC)NCCC2=C(C=C(C=C2)Cl)Cl,Active,88,,,16
54,49642423,24746882,CN(C)CCC1=CC2=C(C3=C1C=CC4=CC=CC=C43)OCO2.Cl,Active,88,,,16
55,49736284,24793742,CC1=CC=C(C=C1)CCN[C@H](CC2=CC=CC3=CC=CC=C32)CN[C@@H](CC4=CC=CC=C4)CNC,Active,88,,,14
56,24818007,16195070,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2COC4=CC=C(C=C4)OC)C)C(C)C.[Cl-],Active,88,,,15.5
57,24795847,2184494,CN(CCOCCOC1=C(C=C(C=C1)Cl)Br)CC2=CC=CC=C2,Active,88,,,16.5
58,51087855,12627144,CC1=CC=C(C=C1)C2=CC(=CC(=[N+]2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,88,,,17.5
59,49643775,18528944,CC1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)C4=CC=C(C=C4)OC)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,88,,,14
60,24809317,16192954,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2COC4=CC=CC=C4C)C)C(C)C.[Cl-],Active,88,,,14
61,17512274,12005609,CCCCCCCOC(=O)C[N+](C)(C)CCOC1CC2CCC1(C2(C)C)C.[Br-],Active,88,,,15.5
62,24819048,2834419,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2COC4=CC=CC=C4)C)C(C)C.[Cl-],Active,87,,,18
63,24795344,2948775,COC1=CC(=C(C=C1)OCCOCCN2CCC3=CC=CC=C3C2)CC=C.C(=O)(C(=O)O)O,Active,87,,,18
64,26730219,2812866,C1CN(CCN1CC2=CNC3=CC=CC=C32)C4=CC=C(C=C4)F,Active,87,,,19
65,47201429,23724244,CCOC(=O)C1CCN(CC1)CC2=CC(=CC=C2)OCC3=CC=CC=C3.C(=O)(C(=O)O)O,Active,87,,,20.5
66,49675625,24761809,CC1=CC(=C(C=C1)C(C)C)OCC(CN(C)CC2=CC=CC=C2)O.Cl,Active,87,,,20
67,49673082,17367486,COC1=CC=C(C=C1)CNCC2=CC=C(C3=CC=CC=C23)OC.C(=O)(C(=O)O)O,Active,87,,,19.5
68,24783865,855534,CC1=CC2=CC(=C(N=C2C=C1)Cl)CNCC3=CC=CC=C3,Active,87,,,20.5
69,47196937,2934350,CC1=C(C=CC(=C1)OCCOCCNCC2=CC=CC=C2)C(C)C.C(=O)(C(=O)O)O,Active,87,,,21.5
70,49677471,16246205,CC1=CC=C(C=C1)CN(C)CC(COC2=CC3=CC=CC=C3C=C2)O.C(=O)(C(=O)O)O,Active,87,,,20.5
71,24804789,3155287,C=CS(=O)(=O)C1=C(C(=C(S1)Cl)N2CCOCC2)[N+](=O)[O-],Active,87,,,19.5
72,49718079,2970596,C1CN(CCC1NC(=O)COC2=C(C=C(C=C2)Br)Cl)CC3=CC=CC=C3,Active,87,,,21
73,14742797,1973366,CC(C)(C)OC(=O)NCCC1=NN=C(O1)SCC2=CC=C(C=C2)Cl,Active,87,,,21
74,24787552,2977857,C1CN(CCN1CCOCCOC2=CC=CC3=CC=CC=C32)CC4=CC=CC=C4.C(=O)(C(=O)O)O,Active,87,,,19
75,49713820,135693577,CC1=C([C@@H](NC(=NCC2=CC=CC=C2)N1CC3=CC=CC=C3)C4=CC(=CC=C4)F)C(=O)OC,Active,87,,,19
76,17414779,2934546,CC1=CC(=C(C=C1)Cl)OCCCCN(C)CC2=CC=CC=C2.C(=O)(C(=O)O)O,Active,87,,,19.5
77,26659995,135802829,C1CC2=C(C(=NCCC3=CC=CC=C3)C1)NC4=CC=CC=C24.Cl,Active,87,,,19.5
