PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Percentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over the 3SD of negative controls at a concentration of 10 uM
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
72,14743841,2673450,C1CCC(C1)CC(=O)NC2=CC3=C(CCC3)C=C2,Active,36,,,80.4
73,49822924,24239417,COC1=CC(=C(C=C1)NC(=O)CCCC2CCCCC2)OC,Active,35,,,80
74,26729558,2810249,CN1C2=C(C(=CC=C2)F)C(=N1)NC(=O)CC34CC5CC(C3)CC(C5)C4,Active,35,,,79.7
75,49721839,16452961,CC1=CC=CC=C1CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=NN=C(S3)C)Cl,Active,34,,,77
76,24819551,1485939,CC1=CC=C(C=C1)S(=O)(=O)C2=C(CS(=O)(=O)C2)C(=O)C,Active,34,,,76.7
77,24828048,4409128,CN(C1CCS(=O)(=O)C1)C(=O)CSC2=NC=NC3=C2C=C(S3)C4=CC=CC=C4,Active,34,,,76.3
78,7968852,5309637,CCN(CC)C1=CC(=C(C=C1)NC(=O)CN2C=C3CC(CCC3=N2)C)C,Active,34,,,76.2
79,24816582,1179562,C1CN(C2=CC=CC=C21)C(=S)NC(=O)C3=CC=C(O3)Br,Active,33,,,75.4
80,49733015,573329,CC1=C(OC=C1)C(=O)NC2=CC3=CC=CC=C3C=C2,Active,33,,,75
81,4245874,3240293,COC(=O)C1=CN(C(=O)C2=CC=CC=C21)NC(=O)CC3CCCCC3,Active,33,,,74.6
82,14718853,23670524,CC/C(=C\C=C\[C@@H]1C=C[C@@H]2CCC[C@H]2[C@@H]1C(=O)C3=CC=CN3)/[C@H]4[C@H](CC[C@@H](O4)[C@@H](C)C(=O)[O-])C.[Na+],Active,33,,,74.2
83,17414569,1328564,C1CCC(CC1)CCC(=O)NC2=CC=CC=C2C3=CC=CC=C3,Active,33,,,74.1
84,49717987,2979755,C1C(CN(C1=O)NC(=O)C2=CC=CC=C2)C(=O)OCC3=C(C=C(C=C3)Cl)Cl,Active,33,,,74
85,26663902,930238,CC(C)C1=NC2=C(C3=C1CCC3)C4=C(S2)C(=S)N=CN4,Active,33,,,73.5
86,14731473,3739152,C1CC(=C(C1)NNC(=O)C2=CC=CC=C2Cl)C(=O)C(F)(F)F,Active,33,,,73.5
87,14723607,3108314,C1C2CC3CC1CC(C2)(C3)C(=O)NCC4=CC5=C(C=C4)OCO5,Active,33,,,73.5
88,17410795,1475495,C1=CC=C(C=C1)NC(=S)NC(=O)C2=CSN=N2,Active,32,,,73.3
89,26730448,2735289,CC(C)(C)C1=CC=C(C=C1)OC2=NC=C(C=C2)N,Active,32,,,73.3
90,24781334,7726312,CC1=C(C=CC=C1Cl)NC(=O)C(=O)NNC(=O)C2=CC=CC=C2F,Active,32,,,73.1
91,14745565,2547402,CC1=CC(=C(C(=C1)Cl)NC(=O)CC(C)(C)C)C,Active,32,,,73
92,24805894,2921617,C1=CC=C(C=C1)C2C=CC(C3C2C(=O)N(C3=O)NC(=O)C4=CC=NC=C4)C5=CC=CC=C5,Active,32,,,72.5
93,49827272,19675085,CCC1=CC=C(C=C1)C(C)NC(=S)NC2CCCCC2,Active,32,,,72.5
94,49673604,4202601,COC1=CC(=C(C=C1)NC(=O)CC23CC4CC(C2)CC(C4)(C3)Br)OC,Active,32,,,72.3
95,49723475,832638,CCC1=CC(=C(C=C1)OCC(=O)NC2CCCCC2)Br,Active,32,,,72.2
96,14746673,7409805,CCOC1=CC(=C(C=C1NC(=O)CC2=CC(=CC=C2)OC)OCC)N3CCOCC3,Active,32,,,72.2
97,17410574,1475502,C1=CC=C(C(=C1)NC(=S)NC(=O)C2=CSN=N2)Cl,Active,32,,,71.8
98,46500605,5771850,CCC/C=C(\CCC)/C(C1=CC=C(C=C1)C(F)(F)F)NC(=O)CCC2=CC=CC=C2,Active,32,,,71.5
99,49671725,3565925,CC1CCC2=C(C1)SC3=C2C(=O)N(C(=S)N3)CCOC,Active,32,,,71.3
100,49824451,19675411,CCC(C1=CC=C(C=C1)C)NC(=S)NC2CCCCC2,Active,31,,,71.2
101,26665409,2045642,C1CCN(CC1)CC(=O)NNC2=NC3=C(C=C(C=C3)Br)C(=N2)C4=CC=CC=C4,Active,31,,,71.2
102,24797613,6467735,CCC(C1=CC=CC=C1)NC(=O)NC2CCCCC2,Active,31,,,70.5
103,24803442,704023,C1=CC=C(C=C1)C2=CC3=C(S2)N=CNC3=S,Active,31,,,70.5
104,14731818,728868,C1=CSC(=C1)C2=C(C(=O)C3=C(O2)C=CC(=C3)Cl)O,Active,31,,,70.4
105,14729963,2765914,C1=CC=C(C=C1)CC(=O)NC2=C(SC(=C2C3=CC=CC=C3)SCC#N)C#N,Active,31,,,70
106,852769,655409,C1=CC=C2C(=C1)C(=O)N(C(=N2)CC3=CC=CS3)NC(=O)CC4=CC=CS4,Active,31,,,70
107,14730375,1830783,CCCC1=NC2=C(C3=C(S2)CCCC3)C(=O)N1NC(=O)CCCl,Active,31,,,69.9
108,49643639,858195,C1OC2=C(O1)C=C(C=C2)CNC(=O)NC3=CC(=CC=C3)Cl,Active,31,,,69.6
109,24818208,1475499,C1=CC(=CC=C1C(F)(F)F)NC(=S)NC(=O)C2=CSN=N2,Active,31,,,69.4
110,26670089,9681665,C/C(=N\NC(=O)C1=CC2=CC=CC=C2C=C1O)/C3=CC4=CC=CC=C4O3,Active,31,,,69.2
111,49733511,6868231,CC1=CC=C(O1)/C=N/NC(=O)C2=CC3=CC=CC=C3C=C2O,Active,30,,,69
112,49670172,2920461,CC1CCC2=C(C1)SC3=C2C(=O)N(C(=S)N3)C,Active,30,,,68.6
113,24788081,16189302,CC1=C(C=CC(=C1)Br)OCC(=O)NNC(=O)C(=O)NC2=C(C=CC(=C2)OC)OC,Active,30,,,68
114,49721838,16446382,CC1=CC=C(C=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=NN=C(S3)SC)Cl,Active,30,,,67.6
115,26669540,3779856,CCC1(NC(=S)N(N1)C2=CC(=C(C=C2)C)C)C3=CC=C(C=C3)Cl,Active,30,,,67.5
116,17413940,2968126,CCCN(CCC)C(=S)NC(=O)C1=C(C=C(C=C1)Cl)Cl,Active,30,,,67.4
117,49724183,9567053,CC1=CC=C(O1)/C(=N/NC(=O)C2=CC3=CC=CC=C3C=C2O)/C,Active,30,,,67.4
118,24789075,895560,C1=CC=C(C(=C1)NC(=S)NC(=O)C2=CC=C(O2)Br)F,Active,30,,,67.1
119,4259588,2947015,C1=CC=C(C=C1)C(CC(=O)NCC2=CC=CO2)C3=C(C=CC(=C3)Br)O,Active,29,,,66.8
120,47199467,2852569,CC(C)C1=CC=C(C=C1)NC(=O)C2CC3CCC2C3,Active,29,,,66.5
121,14727781,5400801,CCCN1C(=O)/C(=C/C2=CC=C(S2)C)/NC1=S,Active,29,,,66.1
122,26659147,921583,C1=CC=C(C=C1)C2=NC(=S)C3=C(N2)C=CC(=C3)Br,Active,29,,,66
123,14739068,2870135,CCC1(CC2=C(CO1)SC3=C2C(=O)N(C(=S)N3)CC4=CC=CC=C4)C,Active,29,,,66
124,17411940,3784439,C1=CC(=CC(=C1)C(F)(F)F)C2=NC3=C(C=CC(=C3)Cl)C(=O)N2O,Active,29,,,65.7
125,24834746,3000729,C1=CC=C(C=C1)C2=CSC(=S)N2,Active,29,,,65.7
126,4261739,254340,C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC=CS3)O,Active,29,,,65.6
127,24790344,2884240,COC(=O)C1=NN(C(C1)(C2=CC=C(C=C2)Cl)O)C(=O)C3=CC(=CC=C3)Br,Active,29,,,65.2
