PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0026uM_(%)_TEST1,Activity_at_0.0068uM_(%)_TEST1,Activity_at_0.0075uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.021uM_(%)_TEST1,Activity_at_0.0235uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.18uM_(%)_TEST1,Activity_at_0.195uM_(%)_TEST1,Activity_at_0.21uM_(%)_TEST1,Activity_at_0.56uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_0.68uM_(%)_TEST1,Activity_at_1.6uM_(%)_TEST1,Activity_at_1.8uM_(%)_TEST1,Activity_at_1.95uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_5.6uM_(%)_TEST1,Activity_at_15uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_46uM_(%)_TEST1,Activity_at_50uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0235uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.21uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_50uM_(%)_TEST2
493,49725330,2973334,CN1C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3OC)N=C1CCNC(=O)C4=CC=CO4,Active,53,,,=,5.48,5.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.48,5.261,0.874,2.303,-100,13,-82.609,50,50,-2.174,8.333,-6.522,-2.355,-36.232,-40.58,-82.609,-82.609
494,56422332,25102396,CC1=CC=C(C=C1)OCCNC(=O)C2=CC(=CC=C2)S(=O)(=O)NCC3=CC=CC=C3,Active,58,,,=,1.64,5.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.64,5.785,0.739,2.663,-47.337,13,-51.667,16,50,-6.458,6.25,-6.458,-15.833,-13.333,-31.875,-51.667,-20
495,24825700,4875983,CC1=CC=CC=C1NC2=NC(=NC(=N2)N)COC(=O)C3=CC(=C(C=C3)OC)OC,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,7,-42.857,5.6,50,,-35.714,-28.571,-21.429,-28.571,-42.857,-35.714,-42.857
496,124753869,53299881,C1=CC=C(C=C1)C(=O)C2=C(C(=C(N2)N)C(=O)NCCC3=CNC4=CC=CC=C43)C5=CC=CC=C5C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,24.3452,24.3452,16,103.809,50,50,0,7.381,7.381,24.048,10.238,14.048,27.857,103.809
497,47198379,135426212,CC1=CC(=CC(=C1O)/C=N/NC(=O)C2=CC3=C(C=C2)OCO3)Br,Active,52,,,=,6.69,5.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.69,5.175,1.984,-10,-60,14,-51.905,16,16,-17.381,-3.333,-10.238,-6.905,-20,-30.952,-51.905,
498,57262939,2655678,CC1=C(C2=C(C=C1)C(=CC(=O)O2)CN3CCN(CC3)S(=O)(=O)C4=CC=C(C=C4)Cl)C,Active,49,,,=,11.61,4.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.61,4.935,2.047,15.231,-100,14,-82.87,50,50,16.667,0,27.315,29.63,4.167,0,-66.204,-82.87
499,85199213,4852765,COC1=C(C=C(C=C1)CC(=O)NC2=NC=CS2)S(=O)(=O)N3CCOCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.36686,-2.36686,13,-11.538,0.068,50,7.692,-11.538,-7.692,3.846,-11.538,7.692,3.846,0
500,26667380,9632757,COC1=CC=CC=C1/C=C/C=N/NC(=O)CCN2C=NC3=CC=CC=C32,Active,51,,,=,8.01,5.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.01,5.096,4,0.029,-72.344,15,-72.727,50,50,0,-4.545,4.545,-4.545,4.545,-13.636,-68.182,-72.727
501,85269459,4795157,COC1=C(C=C(C=C1)Cl)C(=O)NNC(=O)CCNS(=O)(=O)C2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-22.9304,-22.9304,14,-40,0.0235,50,-40,-13.846,-16.667,-2.821,-28.718,-23.846,-30.769,-39.231
502,56322916,5329098,CC1=CC(=C(N1)/C=C\2/C3=CC=CC=C3NC2=O)C,Active,50,,,=,10.84,4.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.84,4.965,1.427,0,-220,16,-213.636,50,50,-4.545,-9.091,-4.545,0,-18.182,-68.182,-127.273,-213.636
503,11532988,9046,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5,Active,55,,,=,3.31,5.480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.31,5.480,1.121,7.195,-74.247,15,-66.615,16,50,15.385,-3.846,11.692,-15.846,-11.538,-46.769,-66.615,-64
504,93577007,45479889,CC1=C[N+]2=C(C=C1)C(=C3C=CC4=CC=CC=C4C3=C2)C.OCl(=O)(=O)=O,Active,60,,,=,1.06,5.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,,=,1.06,5.975,0.604,25,-100,8,-100,50,50,21.429,7.143,-28.571,-21.429,-42.857,-50,-92.857,-100
505,121284324,51359794,CC1=CC=C(C=C1)CC2=C(N=C3N2C=C(C=C3C)Br)C4=CC=C(C=C4)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-7.12077e-06,-7.12077e-06,15,-13.636,0.0235,50,-13.636,-9.091,0,-4.545,9.091,4.545,9.091,4.545
506,85146757,44142613,COC1=CC(=CC(=C1OC)OC)C(=O)OCCC2=CC3=CC=CC=C3C(=O)O2,Active,58,,,=,1.59,5.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.59,5.799,1.077,23.542,-92.918,14,-79.304,16,16,25.565,17.217,12.174,-11.826,-29.565,-78.957,-79.304,
507,49822697,24677540,COCCNC(=O)C1=CC(=NC2=CC=CC=C21)C3=CC=C(C=C3)C4=CC=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-11.9008,-11.9008,13,-27.717,0.068,50,-14.855,-27.717,,-19.203,-14.855,-10.87,-8.333,14.312
508,85146931,113124,CCOC1=CC(=C(C=C1C(=O)C)OCC)OCC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.6875,-4.6875,16,-16.667,16,50,-8.333,-8.333,0,4.167,0,-8.333,-16.667,0
509,7973721,774975,COC1=C2C3=C(C4=CC=CC=C4C2=O)ON=C3C=C1,Active,47,,,=,19.09,4.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.09,4.719,1.824,0,-450,13,-388,50,50,-13.044,-24.87,-21.217,-4.174,-33.565,-37.565,-188,-388
510,24806606,2790597,C1COCCN1CCCNC2=C3C=CC=CC3=NC4=CC=CC=C42,Active,55,,,=,3.51,5.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.51,5.455,2.709,0,-500,13,-508.667,16,50,-6,-1.833,-10.333,12,-76,-383.333,-508.667,-491.667
511,24781257,858780,CC(=O)C1=CC2=C(C=C1NS(=O)(=O)C3=CC=C(C=C3)OC)OCO2,Active,49,,,=,13.92,4.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.92,4.856,4,-6.11,-100,15,-86.308,50,50,-4,0,-15.385,-11.692,-8,-4.154,-66.769,-86.308
512,49648832,24747939,COC1=CC=C(C=C1)C2=CC3=C(C=C2)OC(=C3C#CCO)C4=CC=C(C=C4)OC,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.5,0,-100,14,-35.714,50,50,0,-10.714,0,-10.714,-28.571,-25,-21.429,-35.714
513,24806990,16192810,C1CCN(CC1)CCN2C3=CC=CC=C3N4C2=NCCC4.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-12.3932,-12.3932,13,-29.63,16,50,-8.333,5.093,11.111,-3.704,-16.667,-17.13,-29.63,-21.759
514,49673230,9684637,CC1=C(SC2=NC=NC(=C12)N/N=C(\C)/C3=CC=CC=N3)C,Active,62,,,=,0.589,6.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,,=,0.589,6.230,0.993,0,-100,12,-100.476,5.6,5.6,21.429,-17.619,-33.619,-50.381,-64.667,-100.476,,
515,103059952,49786289,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=CC=C3)OC)C4=C(C=CC(=C4)F)OC,Active,49,,,=,11.9,4.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.9,4.924,2.23,2.725,-125,15,-114.286,50,50,1.465,3.297,7.692,2.381,-2.381,-14.835,-83.7,-114.286
516,24820074,1489499,C1COCCN1C2=NC(=NC(=C2)CSC3=CC=C(C=C3)Cl)C4=CC=CC=N4,Active,54,,,=,4.5,5.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.5,5.347,2.429,7.369,-54.306,16,-59.066,16,50,3.846,11.264,18.407,-3.846,0,-29.396,-59.066,-48.077
517,22415732,2294485,COC1=C(C=C(C=C1)C2=CSC(=N2)NC(=S)NC(=O)/C=C/C3=CC=CO3)OC,Active,57,,,=,2.19,5.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.19,5.660,4,-8.773,-73.842,15,-74.615,16,50,-7.179,-6.667,-14.872,-6.667,-29.231,-71.795,-74.615,-73.333
518,56422134,24409714,CCOC1=C(C=C(C=C1)C(=O)NNC(=O)CCNC(=O)C2=CC=C(C=C2)Br)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.04167,-1.04167,16,-8.333,0.0235,50,-8.333,0,0,4.167,0,0,0,-4.167
519,26665528,1379161,C1CCC(=NNC(=O)C2=C(C3=C(N2)C=CC(=C3)Cl)C4=CC=CC=C4)C1,Active,52,,,=,6.72,5.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.72,5.173,1.19,0,-100,12,-100,50,50,16,-42.857,-23.81,-11.143,0.857,-59.524,-63.524,-100
520,24779416,1075257,CC1=C2C(=C(C=C1)N3C(=O)C4=C5C(=C(C=C4)[N+](=O)[O-])C=CC=C5C3=O)C=CC=N2,Active,47,,,=,18.78,4.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.78,4.726,2.053,3.307,-150,14,-125,50,50,4.167,4.167,0,-4.167,8.333,-4.167,-66.667,-125
521,47195699,850116,CCOC1=C(C=C(C=C1)C)S(=O)(=O)N2C=NC3=CC=CC=C32,Active,51,,,=,8.08,5.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.08,5.093,2.175,-0.504,-125,13,-104.348,16,16,1.993,1.993,6.341,-6.522,-21.739,-36.051,-104.348,
522,92763834,327404,CCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,29.8701,29.8701,14,45.454,1.8,50,22.727,9.091,22.727,31.818,45.455,27.273,40.909,27.273
523,46500458,11957445,C1CC1(C(=O)O)N.Cl,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,4,3.845,-100,13,-28.718,50,50,0,10,,-3.333,-0.513,23.077,11.026,-28.718
524,47199522,2420253,COC1=CC(=CC(=C1)C(=O)N2CC(=O)NC3=CC=CC=C32)OC,Active,57,,,=,2.1,5.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.1,5.678,4,-15.813,-110,12,-108.514,5.6,5.6,-6.159,-10.87,-15.036,-14.855,-48.913,-108.514,,
525,26663651,3726516,CC(=NNC1=NC2=C(N1CCC3=CC=C(C=C3)OC)C(=O)NC(=O)N2C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.95454,7.95454,16,13.636,5.6,50,0,9.091,4.545,9.091,13.636,13.636,9.091,4.545
526,85271783,4846781,CC1=C(C=C(C=C1)NC(=O)COC2=C(C=C(C=C2)Br)CO)S(=O)(=O)N3CCOCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.87576,7.87576,14,21.739,5.6,50,-8.522,8.522,3.826,12.522,4.348,21.739,4.522,21.217
527,24787573,712797,CN1C2=CC=CC=C2N=C1C(=O)C3=CC=CC=C3[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-9.23077,-9.23077,15,-23.077,0.0235,50,-23.077,-15.385,-7.692,-3.846,0,-7.692,-3.846,-11.538
528,47194409,990988,COC1=CC(=CC(=C1OC)OC)C(=O)NC2=CC=CC=C2C(=O)NC3=CC=CC=N3,Active,53,,,=,4.59,5.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.59,5.338,4,-2.789,-53.908,15,-56.019,16,50,3.704,-22.222,-6.481,0.926,0,-38.889,-56.019,-51.389
529,57257394,25161600,C1CC(=O)N(C1)CCCNC(=O)C2=CC(=C(C=C2Cl)Cl)S(=O)(=O)N3CCOCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.14287,-5.14287,15,-26.905,50,50,-14.286,-6.667,0,3.333,14.048,10.714,-25.952,-26.905
530,24818936,3553673,CC1=C2CCN(C2=C3C=C(C=C(C3=N1)OC)OC)C4=CC=C(C=C4)OC,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.672,-8.014,-100,15,-47.701,16,50,-12.197,-19.349,-5.3,-11.941,-8.748,-22.797,-47.701,-27.586
531,49731517,135549682,CC1=C(C=CO1)C(=O)N/N=C/C2=C(C=CC3=CC=CC=C32)O,Active,57,,,=,1.84,5.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,1.84,5.735,4,22.169,-27.831,12,-40,5.6,50,25,9.167,14.167,30,-0.833,-40,-25,8.333
532,57267990,7855163,CCC(=O)C1=CC=C(C=C1)OCC(=O)OCC(=O)N2CCC3=CC=CC=C3C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.66667,-1.66667,15,-12.5,0.068,50,0,-12.5,4.167,-8.333,4.167,0,0,0
533,56462785,7257,C1=CC(=C(C=C1N)Cl)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.21212,1.21212,15,9.091,50,50,0,4.545,0,0,-4.545,-4.545,9.091,9.091
534,57260186,9534703,CN(CC1=CC=CS1)C(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCCCCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.47161,5.47161,16,11.905,0.6,50,6.227,2.381,3.297,11.905,10.989,8.059,7.143,-6.227
535,92764386,3005298,CC(=NNC(=S)N(CC1=CC=CC=N1)CC2=CC=CC=N2)C3=NC=CN=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-18.1818,-18.1818,6,-36.364,50,50,0,-18.182,-27.273,-18.182,,-9.091,,-36.364
536,56315530,7251300,CCOC1=CC=C(C=C1)C(=O)COC(=O)CC2=NNC(=O)C3=CC=CC=C32,Active,56,,,=,2.53,5.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.53,5.597,4,2.617,-47.383,15,-47.802,5.6,50,-3.297,-3.022,-14.286,11.264,-7.143,-47.802,-40.11,-41.484
537,26664712,256444,C1=CC(=CC=C1N=NC2=C(C=C(C=C2Cl)O)Cl)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,18.4013,18.4013,14,61.905,16,50,-3.095,14.286,0.476,6.667,-6.667,,61.905,55.238
538,855677,1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,16.3889,16.3889,12,26.667,0.068,50,4,26.667,18.5,,25,18.333,10.333,10
539,14738361,3655913,CC(C)C(=O)N(C1=CC2=C(C=C1)OC(=O)S2)S(=O)(=O)C3=CC=C(C=C3)OC,Active,51,,,=,7.6,5.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.6,5.119,4,-11.298,-87.978,16,-88.462,16,50,-19.231,0,3.846,-15.385,-26.923,-26.923,-88.462,-84.615
540,24823182,16195421,CCOC1=C/C(=C/C2=C(N3C(=NC2=O)SC(=N3)S(=O)(=O)CC)N)/C=CC1=O,Active,46,,,=,24.87,4.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,24.87,4.604,1.466,-5.932,-200,16,-151.831,50,50,3.297,-10.073,-1.465,-10.073,-14.835,-30.22,-67.582,-151.831
541,16953491,2322475,C1=CC=C(C(=C1)C(=O)N=NC2=C(NC3=C2C=C(C=C3)Br)O)N4C=CC=C4,Active,56,,,=,2.33,5.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.33,5.633,4,-5.69,-67.244,15,-80,50,50,-14.048,0,0,-9.762,-20.476,-72.143,-54.762,-80
542,87334160,6540241,COC1=C(C=C(C=C1)C2=CC(=CC=C2)C3=CC(=O)OC4=C3C(=CC(=C4)OC)OC)OC,Active,62,,,=,0.594,6.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,,=,0.594,6.226,4,6.182,-43.818,16,-54.583,1.8,50,16.667,-9.375,3.125,-19.167,-54.583,-45,-45.625,-22.292
543,22411775,185478,CC1=CC(=O)C2=C(C1=O)C=CC=C2OC,Active,48,,,=,15.25,4.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.25,4.817,2.91,0,-250,16,-271.667,50,50,-3.125,-15.833,-16.25,-6.458,-3.125,-15.833,-132.5,-271.667
544,49817374,135550918,CN1C(=CC=N1)C(=O)N/N=C/C2=C(C=CC3=CC=CC=C32)O,Active,47,,,=,19.17,4.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.17,4.717,0.576,16.741,-100,14,-58.462,50,50,4.154,23.077,8,23.538,-23.385,-32,-30.923,-58.462
545,24785725,16188888,C1CC1CC2=NOC(=N2)CN3CCC(CC3)C4=NC5=C(N4)C=C(C=C5)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.74149,3.74149,14,45.421,50,50,-20.513,-10.073,4.762,3.297,-5.311,-7.692,14.835,45.421
546,24823240,9776887,COC1=CC=C(C=C1)C2=CN=NC(=N2)N/N=C/C=C/C3=CC=CO3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2,-2,14,-18.167,50,50,-14.667,-2,10.333,10.333,-4,8.333,-2,-18.167
547,56314761,71771,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.23811,-5.23811,13,-20.238,0.0235,50,-20.238,-3.571,-13.571,0,-6.667,13.333,0,3.333
548,47204505,5726562,CC1=CC(=NC(=N1)/N=C(\N)/NC2=C(C=CC(=C2)OC)OC)C,Active,44,,,=,39.39,4.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,39.39,4.405,2.908,-8.113,-100,15,-69.444,50,50,-9.259,-5.093,-6.481,-11.111,-6.019,-12.963,-13.889,-69.444
549,47199228,135533594,CCOC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)N/N=C/C4=CC=C(C=C4)O,Active,48,,,=,16,4.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16,4.796,0.509,15.472,-100,12,-31.818,16,16,4.545,9.091,0,9.091,-18.182,,-31.818,
550,24836211,2450471,CC(C)NC(=O)NC(=O)COC(=O)C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.222233,-0.222233,15,-31.905,50,50,-3.333,-3.571,6.667,10,10.238,13.81,-0.238,-31.905
551,24835374,2063440,CC1=C(C(=NN1C)C)/C=C/C(=O)O,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,1.104,8.783,-100,13,-34.483,50,50,5.045,-1.852,16.156,6.897,20.69,-1.852,-16.156,-34.483
552,49679667,16007397,CC1=CC(=C(C=C1)OC)NC2=C3CCCC3=NC4=CC=CC=C42,Active,62,,,=,0.708,6.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,,=,0.708,6.150,4,-2.19,-80.193,5,-78.571,1.8,1.8,-7.143,0,0,-28.571,-78.571,,,
553,24815004,4183341,CC(=O)N1CCC2=C(C1)SC(=C2C#N)NC(=O)C3=CC(=CC=C3)OC,Active,59,,,=,1.36,5.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.36,5.866,1.693,16.307,-90,12,-90,5.6,5.6,18.333,13.333,8.333,-4.167,-33.333,-90,,
554,49649629,20967163,COC(=O)C1=CC=C(O1)CS(=O)(=O)C2=CC=C(C=C2)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,9.60647,9.60647,16,27.778,0.21,50,19.444,20.37,27.778,11.574,-6.944,0.926,7.407,-3.704
555,85146117,44142089,COC1=C(C=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=CC=C4F)OC5CCCC5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-10.1449,-10.1449,12,-28,0.068,50,-4.174,-28,-4,-16.174,-24.522,-20,-13.044,16.522
556,24818792,1016219,COC(=O)C1=CC(=CC(=C1)C(=O)N2CCN(CC2)C3=CC(=CC=C3)Cl)[N+](=O)[O-],Active,64,,,=,0.383,6.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64,,=,0.383,6.417,4,0,-50,11,-66.667,1.8,50,-8.654,-8.654,7.692,-40.385,-66.667,-38.462,-23.077,-38.462
557,103050566,49778360,COC1=CC(=CC(=C1OC)OC)C2=CN=C3N2C=C(C=C3NC=O)C4=CC(=CC=C4)C(F)(F)F,Active,52,,,=,7.05,5.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,7.05,5.152,0.902,1.046,-100,14,-65.476,16,16,3.333,-3.333,-3.571,-10.238,-17.381,-48.333,-65.476,
558,92763333,243849,CC(=NNC(=O)C1=CC=NC=C1)C2=C(C3=CC=CC=C3C=C2)O,Active,51,,,=,7.94,5.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.94,5.100,3.648,0,-300,15,-312.58,50,50,-9.515,5.045,19.093,12.452,6.897,-65.964,-277.586,-312.58
559,57266551,2629234,CN1C=CC=C1C(=O)OCC(=O)NCC2=CC3=C(C=C2)OCO3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-27.551,-27.551,7,-35.714,5.6,50,-28.571,-7.143,-28.571,-35.714,-21.429,-35.714,,-35.714
560,49679995,2818392,C1=CC=C(C=C1)C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4)O,Active,57,,,=,2.2,5.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.2,5.658,1.417,0,-300,7,-307.143,16,50,-21.429,-21.429,-14.286,-57.143,-114.286,,-307.143,-300
561,17509538,12004875,CC1=C(C=C(C=C1)C(=O)ON2C(=NC3=CC=CC=C3C2=O)C4=CC(=CC(=C4)OC)OC)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.549426,-0.549426,14,25,16,50,12.18,7.692,-3.526,-0.641,-20.192,-16.026,25,8.333
