PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0026uM_(%)_TEST1,Activity_at_0.0068uM_(%)_TEST1,Activity_at_0.0075uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.021uM_(%)_TEST1,Activity_at_0.0235uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.18uM_(%)_TEST1,Activity_at_0.195uM_(%)_TEST1,Activity_at_0.21uM_(%)_TEST1,Activity_at_0.56uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_0.68uM_(%)_TEST1,Activity_at_1.6uM_(%)_TEST1,Activity_at_1.8uM_(%)_TEST1,Activity_at_1.95uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_5.6uM_(%)_TEST1,Activity_at_15uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_46uM_(%)_TEST1,Activity_at_50uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0235uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.21uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_50uM_(%)_TEST2
319,26661126,921967,C1=CC=C2C(=C1)C(=C3C2=NC4=CC=CC=C4N3)N=NC(=O)N,Active,51,,,=,8.41,5.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.41,5.075,1.147,5.197,-194.803,7,-136.364,16,16,0,9.091,9.091,0,-27.273,-72.727,-136.364,
320,26726064,16745861,CCCNC(=O)C1=CC2=C(C=C1)C(=O)C(=C(N2)C3=CC(=CC=C3)Br)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.06063,6.06063,6,18.182,0.21,50,18.182,,18.182,18.182,0,,-9.091,-9.091
321,24803048,1327534,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)NC(=O)CSC2=CC=C(C=C2)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.89854,2.89854,6,-13.044,50,50,,,4.348,4.348,13.043,13.043,-4.348,-13.044
322,17407337,11958570,CC1=C(SC(=N1)NC(=O)C2=CC=CC=C2)C3=CSC(=N3)NC4=CC(=CC=C4)OC,Active,49,,,=,11.61,4.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.61,4.935,0.55,5.679,-100,15,-68.125,50,50,3.333,-3.125,0.208,-15.833,-22.292,-33.333,-51.667,-68.125
323,56424138,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,13.4506,13.4506,14,31.385,16,50,-7.692,0.154,,7.846,11.692,27.231,31.385,23.538
324,24839425,3238892,CCOC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)N4CCN(CC4)C5=CC=CC=N5,Active,48,,,=,16,4.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16,4.796,0.5,11.479,-100,6,-35.714,16,16,7.143,0,,-7.143,-14.286,-28.571,-35.714,
325,49665493,3173038,C1CC2=C(C3=CC=CC=C31)N=C(S2)NC(=O)CCCl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,9.99999,9.99999,15,42.857,50,50,0,3.571,-7.143,3.571,3.571,7.143,25,42.857
326,17407423,11958646,CCCCNC(=O)C1=C(C(=NO1)CSC2=CC=CC=C2C)C(=O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-7.44901,-7.44901,14,-21.429,0.21,50,7.381,-6.905,-21.429,-13.81,-7.143,-6.905,-6.905,-10.714
327,93576745,8742,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.863082,0.863082,16,-17.381,0.0235,50,-17.381,0,6.905,10.238,3.809,6.429,3.571,-6.667
328,26665472,937982,C1=CC=C(C=C1)CCNC2=NC(=NC3=CC=CC=C32)C4=CC=CC=N4,Active,56,,,=,2.77,5.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.77,5.558,4,3.63,-69.2,13,-68.81,16,16,4.048,7.143,0,3.095,-6.667,-65.714,-68.81,
