PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,ConfValue1,DMSOMean1,DMSOStddev1,EC80Mean1,EC80Stddev1,ECMAXMean1,ECMAXStddev1,Zprime_DMSO_EC80_1,Zprime_DMSO_ECMAX_1,ConfValue2,DMSOMean2,DMSOStddev2,EC80Mean2,EC80Stddev2,ECMAXMean2,ECMAXStddev2,Zprime_DMSO_EC80_2,Zprime_DMSO_ECMAX_2
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,minimum fluorescence intensity value subtracted from the maximum fluorescence intensity value for sample 1 of test compound,Mean of the DMSO (vehicle) control for sample 1 calculated on a per plate basis,Standard deviation of the DMSO (vehicle) control for sample 1 calculated on a per plate basis,Mean of the EC80 acetylcholine control for sample 1 calculated on a per plate basis,Standard deviation of the EC80 acetylcholine control for sample 1 calculated on a per plate basis,Mean of the ECMax acetylcholine control for sample 1 calculated on a per plate basis,Standard deviation of the ECMax acetylcholine control for sample 1 calculated on a per plate basis,Zprime for sample 1 calculated as 1-[3* (EC80Stddev1 + DMSOStddev1) / (EC80Mean1 - DMSOMean1)],Zprime for sample 1 calculated as 1-[3* (ECMAXStddev1 + DMSOStddev1) / (ECMAXMean1 + DMSOMean1)],minimum fluorescence intensity value subtracted from the maximum fluorescence intensity value for sample 2 of test compound,Mean of the DMSO (vehicle) control for sample 2 calculated on a per plate basis,Standard deviation of the DMSO (vehicle) control for sample 2 calculated on a per plate basis,Mean of the EC80 acetylcholine control for sample 2 calculated on a per plate basis,Standard deviation of the EC80 acetylcholine control for sample 2 calculated on a per plate basis,Mean of the ECMax acetylcholine control for sample 2 calculated on a per plate basis,Standard deviation of the ECMax acetylcholine control for sample 2 calculated on a per plate basis,Zprime for sample 2 calculated as 1-[3* (EC80Stddev2 + DMSOStddev2) / (EC80Mean2 + DMSOMean2)],Zprime for sample 2 calculated as 1-[3* (ECMAXStddev2 + DMSOStddev2) / (ECMAXMean2 - DMSOMean2)]
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
1017,4249555,1252345,CCOC(=O)NC1=CC2=C(C=C1)N(C3=CC=CC=C3S2)C(=O)CCN4CCOCC4,Active,100,,,372,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,261.633,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1018,4249676,3243597,CCCCN1C2=CC=CC=C2N=C1C(C)NC(=O)C3=CC=CS3,Inactive,0,,,632.898,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,587.674,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1019,4249688,3243607,CC1=C(C(=NC2=C(C=NN12)C(=O)N3CCN(CC3)C4=CC=CC=N4)C)CC5=CC(=CC=C5)Cl,Inactive,0,,,579.632,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,632.347,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
1020,4249709,3243624,COC1=CC=CC(=C1OC)CC(=O)NCC2COC3=CC=CC=C3O2,Inactive,0,,,753.224,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,649.408,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1021,4249725,3243638,CCOC(=O)N1CCN(CC1)C(=O)C2CCN(CC2)C3=NC=NC4=C3SC5=CC=CC(=C54)F,Active,100,,,473.347,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845,462.306,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803
1022,4249746,3243655,CSC1=CC=C(C=C1)C(C(C(=O)C2=CC=CS2)N3CCOCC3)N4CCOCC4,Inactive,0,,,530.817,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,543.02,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
1023,4249827,3243721,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CCCN4C=CN=C4)C(=O)NC(C)C5=CC=CC=C5,Active,100,,,346.306,16.282,5.14447,528.316,37.3611,799.866,42.1915,0.751,0.819,287.531,21.4802,7.51071,397.334,63.0561,611.237,32.0087,0.437,0.799
1024,4249830,3243724,CCCS(=O)(=O)N1CCCC(C1)C(=O)N2CCN(CC2)C3=CC=CC=N3,Inactive,0,,,524.245,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,525.51,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
1025,4249879,3243761,COC1=CC=C(C=C1)N2C(C(CCC2=O)C(=O)N3CCOCC3)C4=CC=C(C=C4)F,Inactive,0,,,521.327,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,562.592,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
1026,4249892,3243772,C1CC(=O)N(C1C(=O)NCCCN2CCN(CC2)C3=CC(=CC=C3)Cl)CC4=CC=CC=C4Cl,Inactive,0,,,549.143,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,514.51,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
1027,4249902,3243782,CCN1C2=CC=CC=C2C(=CC1=O)OCC(=O)NC3=CC=C(C=C3)C(=O)OCCN(CC)CC,Active,100,,,500.776,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782,651.142,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822
1028,4249937,3243814,CC1=CC=C(C=C1)CN2C3=C(C(=O)N(C=N3)CC4=CC=CC(=C4)C)N=N2,Active,100,,,431.51,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,531.408,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1029,4249951,3243828,C1CCC(C1)N2C(=O)C3=CC=CC=C3N(C2=O)CC4=CC=C(C=C4)F,Inactive,0,,,612.225,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,539.612,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1030,4249953,3243830,CSC1=NCCN1C(=O)C2=C(C=CC=C2F)F,Inactive,0,,,641.163,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,639.939,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1031,4250034,3243902,CCOC(=O)C1CCCN(C1)C(=O)C2=CC3=C(O2)C4=CC=CC=C4N=C3C,Active,100,,,428.285,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782,543.735,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822
1032,4250073,3243937,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CCCN4CCOCC4)C(=O)NCC5=CC=CC=C5,Active,100,,,392.592,16.282,5.14447,528.316,37.3611,799.866,42.1915,0.751,0.819,280.51,21.4802,7.51071,397.334,63.0561,611.237,32.0087,0.437,0.799
1033,4250091,6603310,CC1=C(OC(=[N+]1[O-])C2=CC=C(C=C2)Cl)C.Cl,Inactive,0,,,468.633,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,586.245,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
1034,4250108,6602880,CC(C)CCN(C)C1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)C(F)(F)F.Cl,Active,100,,,283.633,16.282,5.14447,528.316,37.3611,799.866,42.1915,0.751,0.819,147.306,21.4802,7.51071,397.334,63.0561,611.237,32.0087,0.437,0.799
1035,4250202,3244048,CCN1C2=CC=CC=C2C(=CC1=O)OCC(=O)NCCCN3CCN(CC3)C4=CC(=CC=C4)Cl,Active,100,,,507.469,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768,490.307,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755
1036,4250222,3244067,COC(=O)C1=CC2=C(N1CC3=CC(=O)N4C=CC=CC4=N3)SC=C2,Active,100,,,28.266,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,27.204,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1037,4250239,6602947,C1CC(CN(C1)CC(=O)N2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)O.Cl,Active,100,,,18.632,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,13.449,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
1038,4250321,3244152,C1CCCN(CC1)CCCNC(=O)C2CC(=O)N(C2)C3CCCC3,Active,100,,,437.123,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,422.061,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1039,4250328,3244157,C1CN(CCN1C2=NC=CC=N2)C(=O)CCNS(=O)(=O)C3=C(N=CC(=C3)Br)N,Inactive,0,,,548.326,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,552.469,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1040,4250352,3244174,CC1=C(N=C(O1)C2=CC=C(C=C2)OC)CN3C4=C(C=C3C(=O)OC)SC=C4,Inactive,0,,,439.143,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,576.306,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
1041,4250374,3244193,CCN1C2=CC=CC=C2C(=CC1=O)SCC(=O)N3CCN(CC3)CC4=CC5=C(C=C4)OCO5,Active,100,,,385.102,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,479.102,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
1042,4250393,3244212,CC1=C(OC2=C1C=C(C=C2)S(=O)(=O)N3CCCCCC3)C(=O)NCC4=CN=CC=C4,Inactive,0,,,643.184,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,590.123,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
1043,4250401,3244220,C1CN(CCC1C(=O)NCCCN2CCN(CC2)CC3=CC=CC=C3)C4=NN=C(S4)N5C=CC=C5,Active,100,,,420.163,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,418.408,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1044,4250415,729273,C1C2CC3CC1CC(C2)(C3)CNC(=O)N,Inactive,0,,,684.061,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,650.939,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1045,4250453,3244259,CCOC(=O)N1CCN(CC1)C(=O)C2CCCN(C2)C3=NC=NC4=C3SC5=CC=CC(=C54)F,Active,100,,,143.653,16.282,5.14447,528.316,37.3611,799.866,42.1915,0.751,0.819,107.714,21.4802,7.51071,397.334,63.0561,611.237,32.0087,0.437,0.799
1046,4250454,3244260,CCC1C(=O)N(C2=C(O1)C=CC(=C2)C)CC(=O)NC3CCN(CC3)C(=O)OCC,Inactive,0,,,700.98,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,628.673,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1047,4250510,3244309,CCCN(CCC)CCCNC(=O)C1=CC2=C(C=C1)S(=O)C3=CC=CC=C3C(=O)N2CC,Active,100,,,331.367,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,325.51,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
1048,4250543,3244340,CCN(C1=C(C=CC(=C1)OC)OC)C(=O)CC2=C(NC3=CC=CC=C32)C(=O)O,Inactive,0,,,509.959,16.282,5.14447,528.316,37.3611,799.866,42.1915,0.751,0.819,386.898,21.4802,7.51071,397.334,63.0561,611.237,32.0087,0.437,0.799
1049,4250612,3244401,C1=COC(=C1)C2=CC(=NO2)C(=O)NCC3=CC=C(C=C3)F,Inactive,0,,,712.919,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,633.755,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1050,4250617,708756,CSC1=CC=CC(=C1)NC(=O)CSC2=NC3=CC=CC=C3O2,Inactive,0,,,539.858,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,614.49,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1051,4250635,3244419,CC1=CC(=NO1)C(=O)N2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4,Active,100,,,239,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,363.918,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
1052,4250649,3244431,CC(C)(C)C(=O)NC1=C(OC2=CC=CC=C21)C(=O)NC3=CC(=CC=C3)OC,Inactive,0,,,755.184,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,644.225,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
1053,4250679,3244454,CC1CCN(CC1)CCNC(=O)C2CCN(CC2)S(=O)(=O)C3=C(ON=C3C)C,Inactive,0,,,422.531,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,450.653,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
1054,4250768,3244531,COC1=C(C=CC(=C1)CC=C)OCCCCCN2CCOCC2.C(=O)(C(=O)O)O,Active,100,,,57.878,14.917,3.37318,612.793,62.9511,944.967,57.8333,0.667,0.803,146.632,20.7761,5.44718,621.088,29.9314,811.886,35.3369,0.823,0.845
1055,4250772,3244536,C1CN(CCC1C(=O)NC2=CC3=C(C=C2)OCO3)CC4=C(N(N=C4)C5=CC=CC=C5)N6C=CC=C6,Inactive,0,,,662.47,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,615.919,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
