PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.235uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.46uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_1.95uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_3.8uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_7.5uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_15uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_30uM_(%)_TEST2,Activity_at_35uM_(%)_TEST2
1551,87543727,44620518,C[C@H]1CN(C(=O)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)O[C@H]1CN(C)CC4=CC(=C(C=C4)Cl)Cl)[C@@H](C)CO,Active,51,,,=,7.5,5.125,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.5,5.125,2.296,-10.677,-100,15,-120.42,35,35,,-8.282,,,-6.318,,,-16.903,,,,-15.655,,,-32.733,,,-54.892,,,-86.683,,,-120.42
1552,131412955,54617884,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)Cl,Active,55,,,=,3.27,5.485,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.27,5.485,2.625,-12.62,-115.263,16,-116.863,16,35,,-12.706,,,-10.161,,,-22.611,,,,-32.928,,,-84.525,,,-100.377,,,-116.863,,,-115.293
1553,131411334,54616281,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)C(=O)C4=CC=CC=C4,Active,50,,,=,9.48,5.023,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.48,5.023,4,-11.344,-100,16,-112.868,35,35,,-8.565,,,-7.471,,,-9.552,,,,-17.208,,,-18.777,,,-37.128,,,-96.701,,,-112.868
1554,131464628,54669115,CC1=CC(=CC=C1)C2=CC=C(C=C2)[C@@H]3[C@H]4CN(CCCCN4[C@@H]3CO)C(=O)NC5=CC=CC=C5OC,Active,48,,,=,14.61,4.835,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.61,4.835,1.4,-0.873,-100,14,-55.9,16,16,,-3.034,,,0.335,,,-1.141,,,,-7.351,,,-21.691,,,-24.487,,,-55.9,,,
1555,131412181,54617122,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)F,Active,50,,,=,10.14,4.994,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.14,4.994,1.6,7.872,-100,15,-107.223,35,35,,8.71,,,11.171,,,6.965,,,,-7.599,,,-16.927,,,-31.614,,,-60.186,,,-107.223
1556,87542144,44618938,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,47,,,=,18.91,4.723,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.91,4.723,1.301,3.244,-100,14,-42.989,16,16,,0.406,,,8.827,,,-3.902,,,,-1.777,,,-9.288,,,-21.902,,,-42.989,,,
1557,87539806,44616606,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)F,Active,52,,,=,5.92,5.228,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.92,5.228,2.105,-8.309,-120.249,16,-116.183,35,35,,-8.184,,,-10.275,,,-9.101,,,,-20.234,,,-45.872,,,-79.458,,,-110.696,,,-116.183
1558,131446406,54649997,COC1=CC=CC(=C1)C#CC2=CC=C(C=C2)[C@H]3[C@@H](N([C@H]3C#N)C(=O)C4=CC=CC=N4)CO,Active,49,,,=,11.94,4.923,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.94,4.923,3.387,-4.989,-100,16,-109.838,35,35,,,-2.833,,,2.305,,,-8.491,,,-6.946,,,-12.31,,,,-31.382,,,-78.258,,-109.838
1559,85801925,44495105,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)O[C@H]1CN(C)CC4=CC=C(C=C4)C(F)(F)F)[C@@H](C)CO,Active,52,,,=,6.77,5.169,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.77,5.169,2.425,-6.785,-100,14,-101.523,16,16,,-0.531,,,-9.186,,,-7.05,,,,-15.546,,,-33.871,,,-53.403,,,-101.523,,,
1560,131446655,54650246,C1CCC(C1)C#CC2=CC=C(C=C2)[C@@H]3[C@@H](N([C@@H]3C#N)C(=O)NC4=CC=C(C=C4)F)CO,Active,50,,,=,10.47,4.98,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.47,4.98,4,-9.968,-119.739,15,-116.497,35,35,,-3.181,,,,-7.43,,,-9.562,,,-13.977,,,-18.251,,,,-46.44,,,-112.195,,-116.497
