PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.235uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.46uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_1.95uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_3.8uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_7.5uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_15uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_30uM_(%)_TEST2,Activity_at_35uM_(%)_TEST2
512,24801420,135455077,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C2=NN3C4=CC=CC=C4[N+](=C3SC2)C.[Br-],Active,60,,,=,0.906,6.043,2,60,,=,0.906,6.043,2.205,0,-122.627,15,-127.327,35,35,2.303,-26.7,-77.33,-101.126,-113.917,-119.074,-126.792,-127.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,22411533,8259799,C1=CC=C2C(=C1)N=C(S2)/C(=C\C3=CC(=CC=C3)O)/C(=O)NC4=CC=C(C=C4)Cl,Active,54,,,=,3.92,5.407,2,54,,=,3.92,5.407,4,-10.51,-113.529,16,-118.295,8,35,-5.652,-8.634,-15.162,-21.536,-66.002,-118.295,-110.189,-108.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,92764813,360443,CN(C)C(=NC(=NC1=CC=CC=C1)SC)SCC2=CC=CC=C2.I,Active,53,,,=,4.55,5.342,2,53,,=,4.55,5.342,1.665,0,-141.556,14,-132.456,35,35,2.452,1.373,-15.896,-33.971,-54.116,-102.971,-132.006,-132.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,49673124,4216259,CCCCN1C2=C(C(=O)NC1=O)N(C(=N2)CN3C(=O)C(=C(C=N3)Cl)Cl)CCC,Active,52,,,=,6.68,5.175,2,52,,=,6.68,5.175,2.442,10.308,-136.265,15,-130.685,35,35,10.377,8.317,14.662,-2.786,-25.388,-73.581,-125.613,-130.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,24830222,2103995,CC(C)N(CC(=O)NC1=C(C=C(C=C1)Cl)C(F)(F)F)C(=O)CCl,Active,53,,,=,5.06,5.296,2,53,,=,5.06,5.296,4,-2.563,-136.879,16,-135.624,35,35,6.867,-2.992,-6.203,-13.408,-42.49,-122.254,-134.58,-135.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,17433401,5738109,CC(=O)NC1=CC=C(C=C1)C(=O)/C=C/C2=C(C=CC(=C2)Br)OC,Active,54,,,=,3.8,5.42,2,54,,=,3.8,5.42,3.042,12.445,-131.83,12,-130.215,35,35,18.978,12.908,5.829,-8.279,-68.29,-120.521,,-130.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,22403644,2367154,C1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=O)COC(=O)/C(=C/C3=CC=CS3)/C4=CC=CS4,Active,51,,,=,8.36,5.078,2,51,,=,8.36,5.078,4,-9.612,-127.328,16,-125.078,35,35,-15.899,-11.614,-2.698,-7.933,-17.427,-62.262,-122.002,-125.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,49721505,16012896,CCS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N(C)C3=CC=CC=C3)Cl,Active,53,,,=,5.12,5.291,2,53,,=,5.12,5.291,3.911,-6.532,-135.51,16,-136.847,35,35,-7.986,-12.363,-3.623,-5.256,-48.612,-115.096,-133.347,-136.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,57269055,4416460,COC1=CC(=C(C(=C1)Cl)NC2=CC(=O)C(=O)C3=CC=CC=C32)OC,Active,54,,,=,4.49,5.348,2,53,,=,4.49,5.348,1.854,-6.059,-100,14,-115.498,35,35,-5.605,-6.436,-11.871,-29.146,-45.415,-78.15,-88.561,-115.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,49729260,24792600,CC(C)C[C@@H](CN[C@H](CC1CCCCC1)CNC)NCCC2=CC(=CC=C2)C(F)(F)F,Active,50,,,=,9.93,5.003,2,50,,=,9.93,5.003,4,-3.114,-133.666,15,-129.278,35,35,-4.688,-4.211,-0.716,-0.798,-10.842,-34.594,-122.555,-129.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,49676635,7422381,C1CCN(CC1)C2=NN=C(C=C2)C3=CC(=CC=C3)NC(=O)C(F)(F)F,Active,55,,,=,3.04,5.517,2,55,,=,3.04,5.517,3.352,25,-100,12,-125.32,35,35,,,85.814,-16.664,-61.133,-87.48,-110.549,-125.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,49668084,24761251,CC1=C(C(=NO1)C2=CC(=C(C(=C2)OC)OC)OC)C3=CC(=C(C=C3)F)OC,Active,56,,,=,2.78,5.556,2,56,,=,2.78,5.556,1.87,-25,-121.425,15,-120.274,35,35,-24.278,-25,-46.115,-53.546,-95.003,-110.024,-116.93,-120.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,17504222,3665766,C1=CC(=CC=C1C2=NC3=C(S2)C=C(C=C3)C(=O)O)N,Active,56,,,=,2.6,5.585,2,56,,=,2.6,5.585,2.135,13.674,-128.705,12,-128.908,35,35,,16.367,-8.613,-32.574,-94.309,-116.011,-124.55,-128.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,49641429,135468598,CC1=CC(=C2C(=C1)C(=CC(=N2)C)N/N=C/C3=CC=C(C=C3)O)C,Active,50,,,=,9.08,5.042,2,50,,=,9.08,5.042,4,0,-100,12,-118.974,16,16,-9.797,-8.591,-2.022,-5.026,0.293,-28.029,-118.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,99356182,282598,CC(=O)N(C1=CC=CC=C1OC)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Active,55,,,=,3.59,5.445,2,54,,=,3.59,5.445,1.658,-2.838,-133.763,16,-129.748,35,35,-5.549,-4.416,-20.026,-40.123,-76.3,-106.626,-124.917,-129.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,87336743,44601621,CC(=CCC/C(=C/CNC(=O)C[C@H]1C[C@@H]([C@]2(C3=C(CCN2C1=O)C4=C(N3)C=CC(=C4)Cl)C)C(=O)N5CCOCC5)/C)C,Active,49,,,=,11.84,4.927,2,49,,=,11.84,4.927,2.301,-5.02,-100,15,-99.563,35,35,-9.878,-2.704,-3.816,-6.158,-10.371,-37.266,-57.071,-99.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,87335571,2585042,C1CN(CCN1C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl)S(=O)(=O)C3=CC4=CC=CC=C4C=C3,Active,56,,,=,2.51,5.6,2,56,,=,2.51,5.6,2.346,-22.995,-127.39,16,-129.183,35,35,-18.05,-29.992,-36.051,-61.92,-104.935,-123.025,-121.602,-129.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,99357371,46903212,CCCCCCNC(=O)O[C@H]1CN2C(=O)C=CC(=O)N2[C@@H]([C@H]1OC(=O)NCCCCCC)CN(CC#C)S(=O)(=O)C3=CC=C(C=C3)C,Active,54,,,=,4.18,5.379,2,54,,=,4.18,5.379,2.483,-16.32,-133.525,16,-130.145,35,35,-9.59,-17.408,-24.452,-38.827,-68.652,-121.276,-128.779,-130.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,49673940,2307751,COC1=C(C=C(C=C1)C2=CSC(=N2)NC(=O)NC3=CC(=CC=C3)OC)OC,Active,51,,,=,7.88,5.103,2,51,,=,7.88,5.103,4,0.473,-127.164,14,-129.638,35,35,-2.041,-4.048,3.508,-1.669,3.318,-67.75,-116.878,-129.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,17410361,1475980,C1=CC=C2C(=C1)N=C(C3=NN=C(N23)C(F)(F)F)SC4=CC=C(C=C4)Cl,Active,59,,,=,1.27,5.896,2,59,,=,1.27,5.896,3.601,-11.994,-129.209,15,-130.064,8,35,-11.71,-16.792,-46.824,-112.914,-128.411,-130.064,-128.578,-128.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,50085521,5225625,CC1=CC=C(C=C1)S(=O)(=O)CCC(=O)C2=CC=C(C=C2)F,Active,50,,,=,11.32,4.946,2,49,,=,11.32,4.946,2.849,7.133,-100,14,-103.217,35,35,6.198,5.632,10.318,7.743,-1.857,-21.374,-69.104,-103.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,56322302,7560574,C1CCC(CC1)(C#N)NC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,Active,55,,,=,3.01,5.521,2,55,,=,3.01,5.521,1.733,-11.961,-90.271,15,-90.359,16,35,-12.654,-13.972,-24.393,-39.937,-58.431,-81.543,-90.359,-86.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,56463072,6185,C[C@]12CC[C@H]3[C@H]([C@]1(CC[C@@H]2C4=CC(=O)OC4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)C=O)O,Active,57,,,=,2.22,5.654,2,57,,=,2.22,5.654,2.823,25,-125.926,15,-127.777,35,35,23.66,23.939,15.053,-47.269,-101.209,-121.414,-125.657,-127.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,17506278,2304404,CC1=C2C(=CC=C1)C(=CC(=N2)SCC(=O)C3=CC=C(C=C3)NC(=O)C)C,Inactive,0,,,,,,1,0,,,,,,6.341,100,14,20.036,8,16,12.696,6.228,8.031,5.827,18.698,20.036,17.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,49670398,4057115,C1=CC=C(C(=C1)C(F)(F)F)N=NC2=C3C=CC=NC3=C(C=C2)O,Active,54,,,=,4.15,5.382,2,54,,=,4.15,5.382,2.438,4.804,-119.661,12,-120.056,35,35,1.28,3.194,5.969,,-59.999,-96.514,,-120.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,24780731,3154671,CC1=C(C(=O)NN1)C(C2=C(C=CC(=C2)OC)O)C3=C(NNC3=O)C,Inactive,0,,,,,,1,0,,>,70,4.155,0.783,0,-100,14,-21.102,35,35,3.438,3.436,4.241,-6.065,-4.147,-13.125,-10.313,-21.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,87335288,234636,CC(=O)NC1=CC=C(C=C1)SC2=CC=C(O2)[N+](=O)[O-],Active,51,,,=,7.36,5.133,2,51,,=,7.36,5.133,2.258,4.236,-100,14,-85.405,16,16,-4.445,6.394,8.899,0.96,-22.08,-50.759,-85.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,56462989,5388983,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,Active,66,,,<,0.26,6.585,2,66,,<,0.26,6.585,0.5,0,-134.973,16,-126.78,35,35,-67.057,-84.539,-91.156,-97.071,-106.785,-114.625,-119.874,-126.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,92764824,379559,CCN(CC)CCCNC1=NC2=CC=CC=C2C3=C1C4=C(N3)C=CC(=C4)OC.Cl,Active,52,,,=,6.91,5.161,2,52,,=,6.91,5.161,3.304,2.285,-131.762,15,-128.245,35,35,1.581,2.936,4.618,-2.873,-20.193,-79.073,-127.73,-128.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,24781041,5770966,COCCN(CC(=O)NC1CCCCC1)C(=O)/C=C/C(=O)C2=C(C=C(C=C2)OC)O,Active,53,,,=,5.38,5.269,2,53,,=,5.38,5.269,1.768,25,-138.23,12,-131.46,35,35,34.567,24.34,12.682,-3.388,-35.915,-83.737,-118.881,-131.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,99357378,46903219,CC1=CC=C(C=C1)S(=O)(=O)N(CC#C)C[C@@H]2[C@H]([C@H](CN3N2C(=O)C=CC3=O)OC(=O)NCC4=CC=CC=C4F)OC(=O)NCC5=CC=CC=C5F,Active,53,,,=,5.52,5.258,2,53,,=,5.52,5.258,1.755,-11.886,-137.85,15,-129.381,35,35,-8.723,-18.07,-18.195,-34.599,-58.107,-92.133,-127.39,-129.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,17415149,2925984,C1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)C3=CC=C(C=C3)Br,Active,56,,,=,2.73,5.564,2,56,,=,2.73,5.564,1.672,-25,-100,12,-106.603,16,16,-26.539,-32.153,-45.504,-48.169,-73.715,-93.68,-106.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,24788060,5763840,C1=CC=C(C(=C1)C(=O)NNC(=S)NC(=O)/C=C/C2=CC=CS2)O,Active,56,,,=,2.35,5.629,2,56,,=,2.35,5.629,4,6.313,-105.037,15,-112.908,8,35,8.121,7.226,-0.363,-35.065,-95.9,-112.908,-104.766,-96.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,22408640,2461024,C1CC1(C2=CC=CC=C2)C(=O)NC3=NC(=C(S3)C4=CC=CS4)C5=CC=CS5,Active,43,,,=,51.15,4.291,2,43,,=,51.15,4.291,1.116,-1.378,-100,16,-37.42,35,35,-3.161,-5.354,-3.632,-0.799,-1.148,-11.441,-29.565,-37.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,47199389,2990902,CCS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=C(C=C2)C)Cl,Active,48,,,=,17.17,4.765,2,48,,=,17.17,4.765,1.67,-11.799,-100,14,-51.697,16,16,-15.978,-8.849,-16.769,-9.194,-16.589,-35.43,-51.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,26660762,16682136,CCCCCCCCCCCCN1C=CC(=N)C=C1.Br,Active,54,,,=,3.74,5.427,2,54,,=,3.74,5.427,2.36,9.42,-122.495,15,-123.6,35,35,7.701,11.546,1.087,-14.785,-66.231,-104.078,-116.067,-123.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,134214409,56588067,C1CN(CCC1C2=NC3=CC=CC=C3N2)CC4=CC=C(C=C4)C5=NC6=C(C=C(C=C6)Br)N=C5C7=CC=CC=C7.C(=O)(C(F)(F)F)O,Active,50,,,=,9.03,5.044,2,50,,=,9.03,5.044,2.661,-1.65,-140.228,16,-136.829,35,35,-2.703,0.474,-1.997,-6.715,-16.05,-60.632,-114.842,-136.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,24784279,373692,C1=CC=C(C=C1)N2C3=C(C(=NC=N3)Cl)SC2=S,Active,51,,,=,7.52,5.124,2,51,,=,7.52,5.124,4,0.108,-100,14,-105.229,16,16,0.818,3.963,-1.433,-1.337,-10.967,-53.748,-105.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,56322476,7404291,CSC1=CC=C(C=C1)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,62,,,=,0.619,6.208,2,62,,=,0.619,6.208,0.802,0,-127.137,16,-119.54,35,35,-46.167,-55.908,-71.727,-92.868,-107.49,-114.757,-118.62,-119.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,26664798,93572,C1=CC=C2C(=C1)C=CC(=C2N=NC3=NC=CS3)O,Active,55,,,=,2.92,5.535,2,55,,=,2.92,5.535,1.19,-14.296,-128.841,15,-123.435,35,35,-20.006,-26.806,-40.551,-58.837,-84.755,-103.133,-114.566,-123.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,24825554,2412507,CC1=CC=C(C=C1)CN2C=CSC2=NC(=O)CCl,Active,59,,,=,1.31,5.883,2,59,,=,1.31,5.883,4,-7.243,-135.855,15,-135.553,35,35,-9.805,-9.189,-30.298,-127.292,-132.971,-133.517,-134.92,-135.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,49731807,16446371,COC1=CC=CC=C1NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3,Active,51,,,=,8.83,5.054,2,51,,=,8.83,5.054,4,-19.581,-132.191,15,-131.161,35,35,-22.009,-18.916,-23.561,-16.215,-22.553,-64.829,-124.976,-131.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,85201451,44202535,C[C@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)O[C@@H]1CN(C)S(=O)(=O)C4=CC=C(C=C4)OC)[C@H](C)CO,Active,51,,,=,8.69,5.061,2,51,,=,8.69,5.061,2.918,-8.001,-128.563,16,-124.117,35,35,-9.694,-4.643,-5.51,-12.087,-25.07,-57.485,-115.28,-124.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,57269093,4858316,CCCCN1C(=O)C=CC(=N1)C(=O)NC2=C(C=CC(=C2)C(F)(F)F)N3CCOCC3,Active,53,,,=,4.7,5.328,2,53,,=,4.7,5.328,1.927,-0.451,-118.035,16,-117.044,35,35,-0.868,-1.151,-6.532,-22.656,-49.83,-90.735,-104.464,-117.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,57263481,6217276,CCOC(=O)/C=C/C(=O)NC1=C(C=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)OC)N3CCOCC3,Active,53,,,=,5.42,5.266,2,53,,=,5.42,5.266,3.268,-4.373,-100,14,-100.57,16,16,4.687,-5.923,-8.487,-13.682,-31.494,-79.538,-100.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,24808769,3206747,CC1(CC2=C(C(=O)C1)SC(=N2)NC(=O)CC3=CC(=CC=C3)OC)C,Inactive,0,,,,,,1,0,,,,,,2.50475,2.50475,14,9.728,0.26,35,9.728,0.995,-1.481,2.067,3.521,1.174,,1.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,49667402,1383269,CC1=CC(=CC=C1)N(CC2=CC(=O)NC3=CC=CC=C32)C(=O)CCl,Active,54,,,=,3.93,5.406,2,54,,=,3.93,5.406,4,-5.779,-134.013,15,-133.456,16,35,-4.556,-3.221,-11.466,-13.269,-78.43,-129.666,-133.456,-132.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,24824251,16195681,CC1=C(C=C(C=C1)C(=O)N[C@@H](C)CN2[C@@H](CN3C2=NC[C@H]3CC4=CC=CC=C4)CC5=CC=C(C=C5)O)Br,Active,46,,,=,24.79,4.606,2,46,,=,24.79,4.606,1.037,-3.294,-100,16,-61.128,35,35,-4.217,-3.872,-4.232,-14.808,-17.479,-23.654,-40.457,-61.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,17511752,135464832,CC1=NC(=NC2=CC=CC=C12)NC3=NC(=CC(=O)N3)CSC4=NC5=CC=CC=C5N4,Active,50,,,=,9.16,5.038,2,50,,=,9.16,5.038,4,1.621,-131.79,16,-126.548,35,35,2.007,-3.363,1.044,5.753,-3.843,-44.647,-125.778,-126.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,24837939,2099944,C1=CC=C(C=C1)C2=CC3=C(S2)N=C(NC3=O)C4=CC=CC=N4,Active,49,,,=,13.99,4.854,2,49,,=,13.99,4.854,3.099,0,-100,12,-97.747,35,35,-20.794,0.111,,,5.994,-19.416,-58.005,-97.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,24835936,4961625,C1=CC=C2C(=C1)C=CC=C2CN3C=CSC3=NC(=O)CCl,Active,62,,,=,0.572,6.243,2,62,,=,0.572,6.243,4,0,-131.39,15,-131.685,8,35,1.183,-47.811,-122.314,-129.879,-131.325,-131.685,-130.73,-130.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,99495628,44825280,CC(=O)C1=CC=CC(=C1)C2=CSC3=C2C(=NC=N3)SC4=NN=NN4C,Active,55,,,=,3.1,5.509,2,55,,=,3.1,5.509,2.261,-13.713,-130.537,15,-129.884,16,35,-10.267,-20.835,-17.642,-49.355,-92.103,-115.875,-129.884,-129.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,103162960,49795390,COC1=CC(=C(C=C1)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=CC=C4)OC)OC,Active,55,,,=,2.93,5.533,2,55,,=,2.93,5.533,1.246,-25,-120.98,15,-115.616,35,35,-27.329,-33.5,-51.203,-57.32,-84.574,-101.333,-111.086,-115.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,24816935,3652004,C1=CC2=C(C=C1F)NC(=N2)CN3C=NC=N3,Inactive,0,,,,,,1,0,,>,70,4.155,0.566,-0.897,-100,15,-29.265,35,35,0.389,-9.098,-2.663,-13.201,-10.475,-15.577,-16.995,-29.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,17513216,1879980,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NNC(=S)NC(=O)C3=CC=C(C=C3)OC,Inactive,0,,,,,,1,0,,>,70,4.155,0.844,-5.026,-100,16,-28.99,35,35,-2.304,-8.352,-7.287,-10.025,-10.221,-9.477,-22.343,-28.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,24835896,2642209,C1CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=CC(=C3)C(=O)OCC(=O)N4CCN(CC4)C(=O)C5=CC=CO5,Active,59,,,=,1.38,5.86,2,59,,=,1.38,5.86,3.215,-7.804,-124.91,16,-128.139,16,35,-11.896,-7.824,-39.312,-101.142,-118.986,-120.895,-128.139,-127.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,22416767,879541,CCC(=O)OC1=C(C2=C(C=C1)C(=CC(=O)O2)C)C(=O)C3=CC=CC=C3,Active,44,,,=,42.43,4.372,2,44,,=,42.43,4.372,0.5,8.643,-100,15,-44.841,35,35,1.142,1.357,-11.548,-10.362,-18.401,-22.231,-31.941,-44.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,24794864,5350421,CC1=CC=C(C=C1)S(=O)(=O)N/N=C/C2=CC(=C(C=C2)OCC3=CC(=CC=C3)C(=O)O)OC,Active,49,,,=,12.96,4.887,2,49,,=,12.96,4.887,3.446,25,-100,12,-89.472,35,35,107.409,129.927,,117.001,64.472,-6.152,-56.066,-89.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,17431966,1566250,C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=O)S2)CC(=O)NC3=CC=C(C=C3)O,Active,42,,,=,64.28,4.192,2,42,,=,64.28,4.192,1.081,-1.259,-100,16,-34.989,35,35,0.977,-1.656,-6.221,-3.273,-5.218,-10.543,-19.399,-34.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,17513040,808844,C1=CC(=CC(=C1)Cl)NC(=O)NC2=NN=C(S2)C3=CC=NC=C3,Active,55,,,=,2.97,5.527,2,55,,=,2.97,5.527,2.683,0.33,-117.1,15,-115.899,35,35,-1.265,0.201,-4.07,-37.097,-80.665,-114.754,-113.635,-115.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,17510435,1247393,CC1=CC(=O)OC2=C1C=C(C=C2)OC(=O)CN3C(=O)C4=C(C3=O)C(=CC=C4)[N+](=O)[O-],Inactive,0,,,,,,1,0,,,,,,3.869,100,14,29.062,35,35,7.17,6.165,6.871,-3.027,-0.297,5.056,20.002,29.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,17510794,12005340,CC1=CC=C(C=C1)NC(=S)N(CCCN2CCOCC2)CC3=CC=CC=N3,Inactive,0,,,,,,1,0,,,,,,1.40321,1.40321,16,7.49,0.26,35,7.49,2.134,2.688,2.603,3.882,1.497,-3.713,-5.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,22407354,2302830,C1=CC=C(C=C1)OCCNC(=O)CSC2=NC3=CC=CC=C3S2,Inactive,0,,,,,,1,0,,,,,,-5.086,100,16,43.704,35,35,-5.337,-6.711,-10.019,-1.158,-2.532,4.174,7.473,43.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,26726561,2815170,C1COC2=C(O1)C=CC(=C2)C(=O)CN3C(=O)C4=CC=CC=C4S3(=O)=O,Active,58,,,=,1.64,5.785,2,58,,=,1.64,5.785,1.459,19.423,-132.827,15,-128.811,35,35,14.593,-11.467,-28.045,-63.343,-105.108,-120.943,-127.579,-128.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
