PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
503,56317028,24687050,CCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)C3=CC(=CC=C3)N4C=CC=C4,Active,54,,,=,3.75,5.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.75,5.426,2.191,-4.271,-82.948,15,-80.637,26,26,-2.661,-3.105,-1.091,-6.255,-12.488,-30.102,-72.33,-80.637
504,24805909,1800867,CC1=C(C(=O)OC2=C1C=CC(=C2C)OCC3=CC4=C(C=C3Cl)OCO4)CCC(=O)O,Active,52,,,=,7.15,5.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.15,5.146,1.125,4.99,-100,16,-77.69,26,26,0.131,-0.241,6.155,5.512,6.264,-31.08,-49.488,-77.69
505,26660910,6881025,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC=CC=C2O)CN3CCOCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.86,2.737,-100,15,-7.965,26,26,-0.31,1.826,3.65,4.318,3.801,1.067,1.768,-7.965
506,56316938,24979666,CN(CC(=O)NC1=CC=C(C=C1)OC)C(=O)C2=CC(=CC=C2)N3C=CC=C3,Active,54,,,=,4.5,5.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.5,5.347,1.186,4.904,-100,15,-81.695,26,26,4.536,5.674,3.477,0.712,-13.89,-27.7,-72.57,-81.695
507,862121,663341,COC1=CC(=C(C=C1C2=NN3C(=NN=C3S2)C4CCCCC4)OC)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.67943,2.67943,16,8.219,0.3,26,-1.477,3.154,6.625,8.219,7.099,3.288,2.519,-7.992
508,47194831,902036,C1=CC=C(C(=C1)SC2=NC=C(C=C2)N)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.33771,3.33771,16,5.513,0.3,26,5.206,2.825,4.865,5.513,4.54,3.064,2.497,-1.807
509,49725009,4104619,COC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)CCS(=O)(=O)C2=CC=C(C=C2)Br,Active,54,,,=,3.61,5.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.61,5.442,0.794,4.163,-100,16,-77.908,26,26,-0.815,2.176,0.923,-5.693,-22.935,-43.897,-66.362,-77.908
510,47193981,16727388,COC1=CC(=C(C=C1)OC)NC2=CC3=CC=CC=C3C(=O)N2,Active,56,,,=,2.44,5.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.44,5.613,1.552,-3.063,-105.098,16,-99.596,26,26,0.081,-5.799,-1.111,-9.63,-22.804,-56.574,-96.4,-99.596
511,56316696,7132269,CC1=CC=CC=C1CN(C)C(=O)COC(=O)CSC2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.08809,2.08809,16,6.398,0.011,26,6.398,3.26,4.904,4.231,3.027,1.399,-0.379,-6.135
512,85200059,2082531,CN(CC(=O)NC1=CC=CC=C1Cl)C(=O)COC(=O)C2=CC=CS2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.91191,1.91191,16,5.554,2.85,26,-2.475,1.33,2.111,4.472,2.944,5.554,1.385,-0.025
513,121283797,3993639,C1=CC2=C(C(=C1)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-])C(=O)NNC2=O,Active,56,,,=,2.58,5.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.58,5.588,1.399,4.153,-55.472,15,-52.868,26,26,4.483,3.688,4.321,0.307,-6.864,-27.316,-46.553,-52.868
514,26724750,3243065,CC1=CC(=C(C=C1)C)N2CCN(CC2)C(=O)CCCN3C(=O)C4=CC5=C(C=C4NC3=S)OCO5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.0679,4.0679,16,7.219,2.85,26,-0.698,5.162,3.748,6.882,4.502,7.219,2.687,3.041
515,47200156,2994402,C1=CC=C(C=C1)COC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.77043,3.77043,16,-30.622,0.011,26,-30.622,6.14,6.385,8.511,9.575,11.11,8.523,10.542
516,57260543,2613612,C1=CC(=CC=C1NC(=O)COC(=O)C2=CC=C(S2)[N+](=O)[O-])F,Active,57,,,=,1.96,5.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,1.96,5.708,3.937,3.668,-90.191,16,-94.275,26,26,0.33,3.576,4.972,5.482,-0.222,-72.877,-85.573,-94.275
517,89854532,44825466,C1[C@@H]2C=C[C@H]1ON2C(=O)C3=CC=CC=C3NS(=O)(=O)C4=C(C=C(C=C4)[N+](=O)[O-])[N+](=O)[O-],Active,50,,,=,9.9,5.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.9,5.004,0.76,4.629,-100,16,-66.642,26,26,1.208,5.465,1.731,0.509,-13.083,-24.423,-42.361,-66.642
518,57266116,2089487,CCOC(=O)C1CCN(CC1)C(=O)COC(=O)C2=CC=C(O2)[N+](=O)[O-],Active,47,,,=,18.5,4.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.5,4.733,0.712,3.791,-100,15,-52.039,26,26,2.578,1.539,1.629,-1.03,-5.313,-15.967,-42.298,-52.039
519,56317574,24979922,C1=CC=C(C(=C1)C(=O)NNC(=O)C2=CC(=CC=C2)N3C=CC=C3)F,Active,59,,,=,1.2,5.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.2,5.921,1.324,0.454,-81.158,15,-78.423,26,26,3.798,-1.628,-4.533,-12.009,-30.388,-63.166,-75.012,-78.423
520,7971289,2992031,CN1C2=C(C(=O)NC1=O)N(C(=N2)SCCN3CCOCC3)CCOC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.863868,-0.863868,16,-14.136,0.011,26,-14.136,-0.87,1.568,0.603,1.916,3.102,1.083,-0.177
521,22408761,2098398,C1=CC=C(C(=C1)CNC(=O)C2=CC3=C(C=C2)N=CN3)Cl,Active,46,,,=,28.09,4.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,28.09,4.551,0.9,4.987,-100,15,-45.767,26,26,5.172,4.324,5.201,2.254,0.683,-6.893,-20.561,-45.767
522,49644388,1107796,CCOC1=CC=C(C=C1)N(CC(=O)NC2=C(C=CC(=C2)Cl)C)S(=O)(=O)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.96329,5.96329,16,10.204,0.1,26,8.884,6.795,10.204,7.317,7.815,5.588,4.016,-2.913
523,47193990,11958363,CCCOC1=NC(=C2C(=C1)C(=C(N=C2N)N3CCCC3)C#N)N,Active,48,,,=,16.89,4.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.89,4.772,1.784,0.741,-100,15,-68.05,26,26,-0.889,-0.627,2.638,1.916,-0.087,-3.116,-20.368,-68.05
524,49675900,4786776,CC1=NC2=C(S1)C=C(C=C2)NC(=O)CCC3CCCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.933761,-0.933761,16,-6.959,26,26,-3.766,-2.036,-0.905,1.281,3.397,0.573,0.946,-6.959
525,47202876,269970,C1=CC=C2C(=C1)C=CC(=C2C=NC3=CC=C(C=C3)O)O,Active,50,,,=,10.05,4.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.05,4.998,2.213,4.968,-100,15,-89.684,26,26,1.342,4.03,7.122,9.368,4.08,-3.385,-32.563,-89.684
526,49823633,25237264,C1=CC=C(C=C1)CN2C=C(C3=CC=CC=C32)/C=N/NC(=O)C4=CC(=CC(=C4)O)O,Active,55,,,=,3.09,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.09,5.51,0.766,9.223,-100,16,-78.849,26,26,4.756,7.199,3.256,-5.485,-20.883,-45.348,-66.089,-78.849
527,26671357,1389502,C1=C(C=C(C=C1Cl)Cl)NC(=O)C2=COC(=O)C(=C2)Br,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.918,6.18,-100,12,-11.033,26,26,6.129,6.578,6.032,5.254,5.505,3.532,-0.337,-11.033
528,49672223,9117452,C1OC2=C(O1)C(=CC(=C2)/C=C(\CC(=O)O)/C3=NC4=CC=CC=C4S3)Cl,Active,51,,,=,7.56,5.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.56,5.121,0.561,7.222,-100,16,-64.497,26,26,3.629,-0.368,3.087,-5.613,-22.469,-31.255,-46.246,-64.497
529,49673079,16246006,CN(CC1=CC(=CC=C1)OC)CC(COC2=C(C=CC(=C2)Cl)Cl)O.C(=O)(C(=O)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.47185,3.47185,16,7.176,0.1,26,4.465,2.261,7.176,4.175,5.089,-0.637,5.469,-0.223
530,49728974,3151041,CC1=CCC(C(C1)C(=O)NC2CCCCC2)C(=O)O,Active,50,,,=,10.18,4.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.18,4.992,0.922,2.288,-100,16,-72.728,26,26,4.868,1.315,1.532,-3.043,-10.33,-22.455,-39.031,-72.728
531,103075949,49790827,C1=CC=C(C(=C1)C2=CN=C(N2)C(C3=CC=C(C=C3)F)O)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.698,5.677,-100,16,-13.81,26,26,5.271,6.754,3.514,6.247,1.358,2.451,-4.584,-13.81
532,14730512,2982965,CC(C1=CC=CC=C1)NCC2=CC(=C(C=C2Br)OCC(=O)N)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.25545,-0.25545,16,-4.281,26,26,2.261,-2.268,2.631,-0.829,1.761,-2.822,1.502,-4.281
533,17433751,5333818,C1CC(CC=C1)/C=N/NC(=O)C2=C(C=C(C=C2)Cl)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,2.616,-100,15,-13.024,8,26,-0.261,2.527,3.59,3.399,-2.694,-7.888,-13.024,-12.615
534,14739765,2930822,CCOC(=O)C1=C(N=C(S1)NC(=O)C2C3CC(C2C(=O)O)C=C3)C,Active,50,,,=,11.12,4.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,11.12,4.954,1.267,-3.601,-100,15,-76.466,26,26,-2.976,-5.207,-0.466,-4.997,-6.94,-20.131,-40.163,-76.466
535,47204716,3098837,CCC1=NN(C(C1)(C2=CC=CC=C2)O)C(=O)C3=CC=CC=C3O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.03617,2.03617,16,7.385,0.035,26,6.24,7.385,5.638,4.387,-3.387,4.959,-2.962,-5.971
536,85199775,3977768,CC1CCCC(C1C)NC(=O)COC(=O)C2=CC=C(S2)[N+](=O)[O-],Active,51,,,=,8.44,5.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.44,5.074,0.915,9.325,-100,16,-70.626,26,26,7.674,6.396,8.57,3.921,4.941,-27.975,-41.583,-70.626
537,51089576,16829596,C1C(CN(C1=O)C2=CC(=CC=C2)F)NS(=O)(=O)C3=C(C=CC(=C3)F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.30871,5.30871,16,8.135,2.85,26,0.717,5.661,5.701,7.962,6.272,8.135,5.613,2.409
538,24822792,5378449,CC(=NNC1=C2C(=CC(=C1)[N+](=O)[O-])S(=O)N(C2=O)C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.50468,3.50468,16,7.838,2.85,26,0.048,7.002,4.917,7.344,5.867,7.838,1.168,-6.147
539,4251575,3245241,CCC(C)NC(=O)CCNS(=O)(=O)C1=CC2=C(C=C1)N(C(=O)O2)C,Active,43,,,=,51.75,4.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,51.75,4.286,1.127,1.461,-100,16,-30.513,26,26,-0.887,-0.927,3.442,1.427,5.253,-5.303,-9.011,-30.513
540,49642679,2838837,C1=CC=C(C=C1)C2C3=C(C=C(C=C3)N)OC(=C2C#N)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.678,-0.98,-79.122,16,-12.569,26,26,-0.691,-2.55,-0.031,-3.012,-0.699,-3.864,-7.541,-12.569
541,24802092,3111390,C1C2C=CC1C(C2C(=O)NCC3=CC=CS3)C(=O)O,Active,48,,,=,14.82,4.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.82,4.829,0.95,4.655,-100,16,-62.039,26,26,5.279,2.227,6.689,0.803,-2.163,-14.628,-31.269,-62.039
542,49821729,18776708,CC(C)CN1C(=O)C2(CCCC3=CC=CC=C32)NC1=O,Active,43,,,=,51.74,4.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,51.74,4.286,2.284,4.799,-100,16,-13.214,26,26,2.58,3.934,5.297,6.559,5.412,4.921,3.282,-13.214
543,57263753,16248821,C1COC(=O)C1OC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N3CCOCC3,Active,49,,,=,13.54,4.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.54,4.868,0.971,5.324,-100,16,-61.316,26,26,2.193,3.443,5.636,5.771,-1.119,-11.981,-37.842,-61.316
544,85199780,3962876,CC1CC2=CC=CC=C2N1C(=O)COC(=O)C3=CC=C(O3)[N+](=O)[O-],Active,49,,,=,12.99,4.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.99,4.886,2.717,4.213,-100,15,-86.082,26,26,0.709,1.856,5.855,4.735,6.726,5.172,-18.066,-86.082
545,26725386,16745608,CC1(C(=O)C=C2C=C(N(C=C2C1=O)CCCCO)C3CC3)OC(=O)CCC(=O)OC,Active,51,,,=,8.77,5.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.77,5.057,1.291,4.421,-100,15,-79.773,26,26,4.62,3.475,6.766,-2.457,0.278,-16.049,-44.148,-79.773
546,22412841,541602,CN1CC2(CC=C(C(C2)(C1)[N+](=O)[O-])OCCO)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.16986,1.16986,15,5.706,0.3,26,0.384,-2.195,2.444,5.706,0.956,4.986,-2.334,-2.27
547,24830280,3254086,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C(C)OC(=O)C3=CC=C(S3)[N+](=O)[O-],Active,53,,,=,4.82,5.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.82,5.317,3.515,5.222,-92.422,16,-92.113,26,26,3.868,7.106,6.42,6.123,2.21,-7.911,-78.381,-92.113
548,134214802,53384981,CN1CCCCC(C1=O)NC(=O)COCC2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.90362,3.90362,16,6.293,0.1,26,0.379,2.406,6.293,3.074,6.096,4.895,4.686,3.401
549,47203780,6459465,CC(C)N1CC(CC1=O)C(=O)NC2=CC=CC=C2C(=O)NC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.463,-1.522,-65.307,16,-8.172,26,26,-5.526,-2.411,0.393,-0.875,0.102,-0.427,-3.645,-8.172
550,24781491,16187543,C1CCN(C1)C(=O)C2=C(N3C=CC=CC3=N2)CN4CCCC(C4)C5=NC6=CC=CC=C6O5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.64514,2.64514,16,6.807,0.3,26,2.109,5.68,3.18,6.807,1.913,4.202,-1.157,-1.574
551,49727453,3095243,CCC(C(=O)N1CCOCCOCCOCC1)NS(=O)(=O)C2=CC=C(C=C2)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.96657,2.96657,16,4.79,0.3,26,0.978,3.777,2.499,4.79,2.123,3.6,1.631,4.335
552,56422705,663856,CC(C)OCCCNC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)CC4CCCO4)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.084,0.221,-100,16,-26.471,26,26,0.739,-0.537,0.59,-0.209,0.112,-4.651,-7.99,-26.471
553,99356521,46902437,C1CC2CC(C3=CC=CC=C23)N(C1)C(=O)OCC4=CC=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.658,2.8,-99.828,16,-8.074,26,26,3.307,1.408,2.53,2.911,1.96,-0.935,-2.056,-8.074
554,24816811,4136883,CCC(C)NC1=C(C(=O)N2C=CC=C(C2=N1)C)C=NC3=CC=C(C=C3)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.709397,-0.709397,16,-4.28,8,26,-2.497,3.215,-1.575,2.742,-4.116,2.224,-4.28,-1.388
555,24787358,135460572,C1=CC(=C(C=C1C2=CC=C(O2)/C=N/N=C/3\NC(=O)C(S3)CC(=O)O)[N+](=O)[O-])Cl,Active,46,,,=,25.11,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,25.11,4.6,1.067,-4.079,-100,16,-51.831,26,26,-7.705,-7.186,-1.728,-3.705,-3.095,-11.894,-28.473,-51.831
556,57262740,4878801,CC(C)(CNC(=O)C(CCSC)NS(=O)(=O)C1=CC=CC=C1F)N2CCOCC2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.5074,6.5074,16,8.955,0.1,26,7.904,8.1,8.955,6.58,7.71,5.78,5.294,1.737
557,57264584,16304189,CC1=C(C=C(C=C1)NC(=O)C(C2=CC=CC=C2)N3CCN(CC3)CC(=O)N4CCOCC4)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,2.352,-100,16,-21.157,8,26,2.694,0.49,1.658,-1.273,-2.858,-11.293,-21.157,-20.32
558,103163351,49795662,CC1=CC=CC=C1OC2(CCN(C2)CC3=CC=C(C=C3)C4=CC=CC=N4)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.59017,4.59017,16,7.85,0.3,26,4.312,6.361,5.931,7.85,3.131,7.195,1.333,0.608
559,24783405,609869,CCOC1=C(C=C2C(NCCC2=C1)C3=CC(=CC=C3)[N+](=O)[O-])OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.3626,2.3626,16,5.253,0.011,26,5.253,1.731,5.145,2.904,3.294,0.184,1.629,-1.24
560,49825412,24818926,CCN(CC)C1CCN(C1)CC2=C(N=C3N2C=C(C=C3)Cl)C(=O)N4CCCCCCC4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.607,6.263,-100,16,-10.951,26,26,4.014,8.833,4.124,5.978,1.702,3.897,-5.279,-10.951
561,24817646,1488983,COC1=CC2=C(C=C1)C(=C3N2C=CC=C3)C#N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.56,-0.573,-100,16,-44.941,26,26,-1.778,1.976,-3.677,-4.717,-17.466,-19.638,-14.028,-44.941
562,26660706,4652735,C1=CC(=CC=C1C(=O)O)N=NC2=C(NC3=C2C=CC(=C3)Cl)O,Active,43,,,=,49.45,4.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,49.45,4.306,1.294,-0.816,-100,16,-30.928,26,26,-1.99,2.228,-2.236,0.367,-3.926,-2.464,-9.393,-30.928
563,92763812,65303,C1=CC=C(C(=C1)C(=O)NNC(=O)C2=CC=CC=C2O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-6.31691,-6.31691,16,-13.099,0.3,26,-2.591,-7.534,-4.327,-13.099,-8.959,-2.369,-2.607,-9.049
564,26724708,3237561,C1CN(CCN1CC2=CC=CC=C2)C(=O)CCCCCN3C(=O)C4=CC5=C(C=C4NC3=S)OCO5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,7.285,-100,15,-12.239,2.85,26,8.707,3.054,9.15,6.168,3.173,-12.239,-2.505,-11.109
565,92763389,3246652,C1=C(C2=NON=C2C(=C1)SC3=NC(=NC4=C3NC=N4)N)[N+](=O)[O-],Active,53,,,=,5.68,5.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.68,5.246,1.528,-0.958,-100,15,-89.541,26,26,-1.384,-0.64,1.721,-0.71,-13.287,-22.197,-65.867,-89.541
