PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
43,131451180,54654751,CN1[C@@H]2CC[C@@H](O[C@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=NC=CN=C4)CC(=O)OC,Inactive,0,,,,,,1,0,,>,52,4.284,0.5,0.686,-100,15,-16.132,26,26,,,,-0.101,,,,-0.011,,,,1.108,,,,,0.992,,,,,-5.266,,,,,-8.939,,,,,-8.225,,,,,-16.132,,,,,,,,,,,,,,,,,,,,,,
44,131429106,54632857,CCCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@H](CN([C@H](CO2)C)CCC)C)OC)C,Inactive,0,,,,,,1,0,,>,52,4.284,0.5,0.304,-100,16,-27.949,26,26,,,0.875,,,,,-2.516,,,,-2.22,,,,,-1.785,,,,,-8.093,,,,,-12.744,,,,,-17.334,,,,,-27.949,,,,,,,,,,,,,,,,,,,,,,
45,131427894,54631651,C[C@H]1CN([C@@H](COC2=C(C=CC(=C2)NC(=O)COC)C(=O)N(C[C@@H]1OC)C)C)CC3CC3,Inactive,0,,,,,,1,0,,,,,,-2.70674,-2.70674,16,-8.793,26,26,,,0.475,,,,,1.624,,,,1.571,,,,,1.198,,,,,-5.972,,,,,-5.544,,,,,-6.212,,,,,-8.793,,,,,,,,,,,,,,,,,,,,,,
46,131432242,54635982,CCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@@H](CN([C@H](CO2)C)C(=O)CC)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-9.45119,-9.45119,16,-17.83,26,26,,,-4.952,,,,,-6.202,,,,-2.19,,,,,-1.133,,,,,-15.726,,,,,-13.721,,,,,-13.855,,,,,-17.83,,,,,,,,,,,,,,,,,,,,,,
47,131457132,54660655,COC(=O)[C@H]1[C@@H]([C@H]2CN3C(=O)C=CC=C3[C@H]2N1CC4CCOCC4)CO,Inactive,0,,,,,,1,0,,,,,,-5.70311,-5.70311,16,-13.56,26,26,,,0.387,,,,,0.045,,,,-0.268,,,,,0.48,,,,,-10.115,,,,,-10.536,,,,,-12.058,,,,,-13.56,,,,,,,,,,,,,,,,,,,,,,
48,131457567,54661218,C1COCCN1C(=O)[C@@H]2[C@H]([C@@H]3CN4C(=O)C=CC=C4[C@@H]3N2CC5=C(C=CC(=C5)F)F)CO,Inactive,0,,,,,,1,0,,,,,,1.4363,1.4363,16,3.438,0.012,26,,,,3.438,,,,2.643,,,,0.028,,,,,2.521,,,,,3.171,,,,,1.584,,,,,-0.398,,,,,-1.496,,,,,,,,,,,,,,,,,,,,,,
49,131432236,54635976,CCCN1C[C@@H]([C@@H](CN(C(=O)C2=C(C=C(C=C2)NC(=O)CC)OC[C@H]1C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-10.8781,-10.8781,16,-18.282,2.85,26,,,-5.113,,,,,-8.387,,,,-6.811,,,,,-3.82,,,,,-16.176,,,,,-18.282,,,,,-16.011,,,,,-12.423,,,,,,,,,,,,,,,,,,,,,,
50,131427861,54631618,CCCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@@H](CN[C@@H](CO2)C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-2.64097,-2.64097,16,-9.662,26,26,,,2.636,,,,,-0.308,,,,-1.359,,,,,1.568,,,,,-0.408,,,,,-6.712,,,,,-6.883,,,,,-9.662,,,,,,,,,,,,,,,,,,,,,,
51,144198297,60192249,CC(C)NC(=O)N1[C@@H]([C@H](C12CN(C2)C(=O)CC3=CN=CC=C3)C4=CC=CC=C4)CO,Inactive,0,,,,,,1,0,,,,,,-1.90626,-1.90626,16,-4.711,2.85,26,,,1.911,,,,,-2.137,,,,-0.98,,,,,0.44,,,,,-1.969,,,,,-4.711,,,,,-3.259,,,,,-4.545,,,,,,,,,,,,,,,,,,,,,,
52,144198581,60192533,CC(C)(C1=CN(N=N1)[C@@H]2C[C@H]3[C@H](CC[C@@H](O3)CO)O[C@@H]2CCC4=CC=C(C=C4)C5=CC=NC=C5)O,Inactive,0,,,,,,1,0,,,,,,-4.4701,-4.4701,16,-11.205,26,26,,,-3.087,,,,,-6.244,,,,-3.722,,,,,0.495,,,,,-2.275,,,,,-5.18,,,,,-4.542,,,,,-11.205,,,,,,,,,,,,,,,,,,,,,,
